0.225	0.04652	0.00196	0.00205	0.71837	0.23099
0.25	0.04706	0.00197	0.00288	0.71816	0.23091
0.275	0.05141	0.00199	0.00302	0.71217	0.23083
0.3	0.0582	0.00201	0.00223	0.70523	0.23074
0.325	0.06475	0.00203	0.00155	0.69811	0.23026
0.35	0.07029	0.00205	0.00188	0.6936	0.2287
0.375	0.07464	0.00207	0.00079	0.69027	0.23004
0.4	0.07508	0.00209	0.0003	0.68798	0.22938
0.425	0.07573	0.00211	0.00024	0.68665	0.22898
0.45	0.07666	0.00212	0.00095	0.68657	0.2302
0.475	0.07516	0.00214	0.00151	0.68649	0.2287
0.5	0.07585	0.00216	0.00024	0.68641	0.22915
0.525	0.07602	0.00218	0.0000	0.68633	0.23002
0.55	0.07534	0.0022	0.0000	0.68625	0.22994
0.575	0.43259	0.00222	0.00918	0.45035	0.09399
0.6	0.76813	0.21793	0.0012	0.00065	0.00024
0.625	0.76536	0.22969	0.00112	0.00057	0.000
0.65	0.7638	0.22961	0.00041	0.00049	0.000
0.675	0.76478	0.22953	0.00056	0.0004	0.00
0.7	0.76453	0.22945	0.00087	0.00064	0.000
0.725	0.76375	0.22827	0.00079	0.00088	0.0000
0.75	0.76509	0.22795	0.00047	0.00112	0.0000
0.775	0.76378	0.22921	0.00000	0.00135	0.0000
0.8	0.76396	0.22913	0.00000	0.00159	0.0000
0.825	0.7646	0.22905	0.00000	0.00183	0.0000
0.85	0.76294	0.22896	0.00000	0.00207	0.0000
0.875	0.76286	0.22888	0.00000	0.00231	0.0000
0.9	0.76278	0.2288	0.00000	0.00255	0.0000
0.925	0.7627	0.22872	0.00000	0.00278	0.0000
0.95	0.76262	0.22864	0.00000	0.00302	0.0000
0.975	0.7641	0.22856	0.00000	0.00326	0.0000
